bin,n,p_mean,y_freq,ci_lo,ci_hi
0,5004,0.012800259792166266,0.006594724220623501,0.004421106618976663,0.009030348543884216
1,945,0.07003915343915344,0.05291005291005291,0.039146614741158076,0.06796725126836821
2,565,0.12395840707964602,0.09557522123893805,0.07273797928334613,0.11862512590895918
3,351,0.17348717948717948,0.15384615384615385,0.12034157266693264,0.1876898963518022
4,306,0.22177450980392158,0.18627450980392157,0.14332142857142857,0.23078859060402684
5,341,0.26945454545454545,0.21700879765395895,0.1653466860331779,0.273358407079646
6,184,0.3277146739130435,0.28804347826086957,0.22157877455459113,0.35152124257651896
7,140,0.37433571428571427,0.37857142857142856,0.29859616445916115,0.4540016731734523
8,132,0.4233939393939394,0.3484848484848485,0.26604429472477065,0.4400687022900763
9,152,0.4742467105263158,0.4276315789473684,0.3516880966296513,0.5078530365566037
10,174,0.5121954022988505,0.3620689655172414,0.28118844696969697,0.4516188769414576
11,100,0.57735,0.61,0.5184676434676434,0.7142857142857143
12,80,0.62390625,0.6,0.49199016563146997,0.7049180327868853
13,101,0.6767079207920792,0.693069306930693,0.5918135435992579,0.7790884360998507
14,92,0.7241521739130434,0.7065217391304348,0.6161616161616161,0.7945370523188644
15,85,0.7701823529411765,0.8470588235294118,0.7692307692307693,0.916695205479452
16,121,0.8249421487603306,0.8264462809917356,0.75,0.9000225225225226
17,89,0.8759438202247192,0.8764044943820225,0.799949494949495,0.935064935064935
18,155,0.9280903225806453,0.9548387096774194,0.9215686274509803,0.9862205983101164
19,417,0.9785395683453237,0.9952038369304557,0.9868412373281489,1.0
